# TStellate_CT1 Optimisation
# Monday 5 November  22:42:01 EST 2012
 
#param.w.x[lsr][ts] = 0.0033	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.0028039	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000122	[1e-07,0.3]
#param.w.x[tv][ts] = 0.000178	[1e-07,0.3]
#param.w.x[glg][ts] = 0.00016	[1e-07,0.3]
#param.ts_gleak = 0.000473539	[5e-05,0.005]
#param.ts_erev = -62.9	[0.03,0.08]
# final error=14.550335
# Time	Error Vec	 Reference Vec (mV)
4.30	-40.958438	-60.099810
4.40	-43.498810	-60.099670
4.50	-46.039182	-60.103472
4.60	-47.666389	-60.110956
4.70	-49.017106	-60.119553
4.80	-49.747919	-60.124134
4.90	-49.969072	-60.118702
5.00	-50.000297	-60.106322
5.10	-49.942589	-60.091198
5.20	-49.884880	-60.075658
5.30	-49.827172	-60.062553
5.40	-49.769464	-60.052968
5.50	-49.711755	-60.048701
5.60	-49.654047	-60.050411
5.70	-49.075952	-60.059826
5.80	-47.958571	-60.079143
5.90	-47.360158	-60.101762
6.00	-46.956339	-60.116510
6.10	-47.040733	-60.121807
6.20	-47.125126	-60.123265
6.30	-47.209519	-60.122581
6.40	-47.401833	-60.120824
6.50	-47.676261	-60.119798
6.60	-47.950689	-60.118522
6.70	-48.225117	-60.120248
6.80	-48.232380	-60.124780
6.90	-48.174672	-60.124387
7.00	-48.116964	-60.118371
7.10	-48.059255	-60.112269
7.20	-48.001547	-60.107399
7.30	-47.943839	-60.104166
7.40	-47.886130	-60.105956
7.50	-47.706569	-60.110510
7.60	-47.450526	-60.111008
7.70	-47.194484	-60.105968
7.80	-46.938441	-60.097001
7.90	-46.682398	-60.079971
8.00	-46.665567	-60.051321
8.10	-47.069767	-60.016861
8.20	-47.473968	-59.983127
8.30	-47.878168	-59.951930
8.40	-47.994855	-59.923833
8.50	-47.855119	-59.898381
8.60	-47.715382	-59.870850
8.70	-47.575645	-59.839705
8.80	-47.435908	-59.799393
8.90	-47.296172	-59.742094
9.00	-47.156435	-59.662057
9.10	-47.016698	-59.535808
9.20	-46.876962	-59.309911
9.30	-48.044501	-59.202621
9.40	-48.211572	-59.172941
9.50	-48.378643	-59.395296
9.60	-48.545714	-59.558531
9.70	-48.712784	-59.664033
9.80	-48.879855	-59.719990
9.90	-49.046926	-59.740720
10.00	-49.213996	-59.742985
10.10	-49.381067	-59.737571
10.20	-49.508820	-59.728195
10.30	-49.494322	-59.717841
10.40	-49.479824	-59.708177
10.50	-49.465325	-59.703788
10.60	-49.450827	-59.702888
10.70	-49.436329	-59.703997
10.80	-49.421830	-59.708453
10.90	-49.407332	-59.713476
11.00	-49.234391	-59.721016
11.10	-49.058941	-59.721323
11.20	-48.883491	-59.708040
11.30	-48.616801	-59.694309
11.40	-48.236583	-59.681646
11.50	-47.856366	-59.670693
11.60	-47.476148	-59.665132
11.70	-47.095931	-59.662908
11.80	-46.897554	-59.661006
11.90	-47.171982	-59.659601
12.00	-47.446410	-59.660470
12.10	-47.720838	-59.659194
12.20	-47.995266	-59.653369
12.30	-48.269694	-59.647339
12.40	-48.388391	-59.643540
12.50	-48.416602	-59.644038
12.60	-48.444813	-59.644949
12.70	-48.473024	-59.639090
12.80	-46.056092	-59.625681
12.90	-45.128839	-59.604321
13.00	-45.071130	-59.563412
13.10	-45.013422	-59.466257
13.20	-44.955714	-59.198136
13.30	-44.898005	-59.205578
13.40	-46.515966	-59.225311
13.50	-47.020611	-59.532472
13.60	-47.525256	-59.753646
13.70	-48.029901	-59.869082
13.80	-48.518655	-59.869486
13.90	-48.897282	-59.689266
14.00	-49.203183	-59.539694
14.10	-49.245521	-59.546034
14.20	-49.287859	-59.793676
14.30	-49.330197	-60.063359
14.40	-49.372534	-60.242721
14.50	-49.414872	-60.318598
14.60	-49.457210	-60.351543
14.70	-49.499548	-60.371326
14.80	-49.511219	-60.385133
14.90	-49.520509	-60.398591
15.00	-49.529800	-60.417794
15.10	-49.539090	-60.432657
15.20	-49.548380	-60.437967
15.30	-49.557671	-60.442336
15.40	-49.566961	-60.443428
15.50	-49.576251	-60.438490
15.60	-49.585542	-60.431574
15.70	-49.594832	-60.423269
15.80	-49.581967	-60.412233
15.90	-49.095135	-60.399635
16.00	-48.608303	-60.382713
16.10	-48.121471	-60.362197
16.20	-47.939888	-60.345730
16.30	-47.925390	-60.333410
16.40	-47.910892	-60.321222
16.50	-47.896393	-60.310669
16.60	-47.881895	-60.302843
16.70	-47.867396	-60.294865
16.80	-47.852898	-60.288630
16.90	-48.001204	-60.288424
17.00	-48.379831	-60.292566
17.10	-48.567419	-60.299395
17.20	-48.567212	-60.307556
17.30	-48.567006	-60.316531
17.40	-48.566799	-60.328097
17.50	-48.713996	-60.343199
17.60	-48.880314	-60.362275
17.70	-49.020036	-60.385207
17.80	-49.159757	-60.411305
17.90	-49.299478	-60.438070
18.00	-49.293240	-60.462568
18.10	-48.996251	-60.484942
18.20	-48.699262	-60.498140
18.30	-48.402273	-60.500948
18.40	-48.157447	-60.500476
18.50	-47.921714	-60.497211
18.60	-47.685980	-60.493205
18.70	-47.450247	-60.492761
18.80	-47.214514	-60.495809
18.90	-47.277455	-60.500330
19.00	-47.551883	-60.507049
19.10	-47.935495	-60.514563
19.20	-48.365081	-60.520305
19.30	-49.092840	-60.525021
19.40	-49.904794	-60.529082
19.50	-50.112845	-60.534405
19.60	-50.112639	-60.540478
19.70	-50.112432	-60.543309
19.80	-50.112225	-60.540828
19.90	-50.112019	-60.532464
20.00	-50.111812	-60.520569
20.10	-50.111605	-60.506717
20.20	-50.111398	-60.486331
20.30	-50.111192	-60.459407
20.40	-50.110985	-60.435549
20.50	-50.110778	-60.406124
20.60	-49.904647	-60.365445
20.70	-49.668914	-60.319356
20.80	-49.433180	-60.271020
20.90	-48.762751	-60.227832
21.00	-47.331393	-60.188029
21.10	-47.171945	-60.144512
21.20	-47.242374	-60.097763
21.30	-47.312803	-60.053944
21.40	-47.383231	-60.017491
21.50	-47.453660	-59.988292
21.60	-47.524089	-59.967542
21.70	-47.594517	-59.957143
21.80	-48.775161	-59.957178
21.90	-48.519118	-59.963237
22.00	-48.263075	-59.968529
22.10	-48.007033	-59.965344
22.20	-47.750990	-59.949478
22.30	-47.523078	-59.927004
22.40	-47.522871	-59.893146
22.50	-47.522665	-59.834584
22.60	-47.522458	-59.733076
22.70	-47.444195	-59.506650
22.80	-47.283667	-59.295665
22.90	-47.123139	-59.278400
23.00	-46.962611	-59.485702
23.10	-46.802083	-59.751290
23.20	-46.641555	-59.938781
23.30	-46.481027	-60.018807
23.40	-47.624334	-60.036739
23.50	-48.436288	-60.022111
23.60	-48.874989	-59.991336
23.70	-47.978757	-59.951879
23.80	-47.623336	-59.906158
23.90	-47.623130	-59.854578
24.00	-47.622923	-59.798095
24.10	-47.622716	-59.733419
24.20	-47.943244	-59.659828
24.30	-48.270158	-59.573425
24.40	-48.597072	-59.448444
24.50	-48.923985	-59.204096
24.60	-49.250899	-58.930706
24.70	-49.522951	-58.856802
24.80	-49.662672	-58.965069
24.90	-49.802393	-59.127491
25.00	-49.942114	-59.139757
25.10	-50.009288	-58.835664
25.20	-50.028050	-58.798149
25.30	-50.046813	-58.718877
25.40	-50.065576	-58.904341
25.50	-50.084339	-58.926907
25.60	-49.986169	-58.787048
25.70	-49.231070	-58.774652
25.80	-48.475970	-58.857182
25.90	-47.720870	-58.980288
26.00	-49.055343	-58.785184
26.10	-47.975640	-58.868902
26.20	-46.895936	-58.907833
26.30	-46.250089	-59.212057
26.40	-46.192380	-59.487061
26.50	-46.134672	-59.673853
26.60	-46.076964	-59.757256
26.70	-46.506193	-59.793809
26.80	-47.035498	-59.808747
26.90	-49.099243	-59.813070
27.00	-49.477870	-59.816626
27.10	-49.702279	-59.820821
27.20	-49.869350	-59.826160
27.30	-50.036421	-59.834251
27.40	-50.200794	-59.843915
27.50	-50.243132	-59.858128
27.60	-50.285470	-59.876581
27.70	-50.327807	-59.895327
27.80	-50.370145	-59.913917
27.90	-50.412483	-59.933794
28.00	-50.454821	-59.953732
28.10	-50.497159	-59.971312
28.20	-50.401629	-59.989022
28.30	-50.255964	-60.002896
28.40	-50.110299	-60.012564
28.50	-49.926093	-60.021181
